id;name;ca;town;status;type;numVictims;lat;long
2629;Fosas en el paraje Pata del Caballo;Andalucía;Paterna del Campo;DESAPARECIDA;;0;37.42111;-6.400417
2630;;;;;;0;0.0;0.0
2631;Fosa en el cementerio de Paymogo;Andalucía;Paymogo;NO INTERVENIDA;;0;37.74245;-7.3435583
2632;;;;;;0;0.0;0.0
2633;Fosas del antiguo cementerio de Santa Bárbara;Andalucía;Santa Bárbara de Casa;DESAPARECIDA;;0;37.79756;-7.1878753
2634;;;;;;0;0.0;0.0
2635;Fosas en cementerio de El Cerro;Andalucía;Cerro de Andévalo, El;DESAPARECIDA;;0;37.73599;-6.9346333
2636;;;;;;0;0.0;0.0
2637;Fosa en el Cementerio de Motril;Andalucía;Motril;DESAPARECIDA;;0;36.74701;-3.5203083
2638;;;;;;0;0.0;0.0
2639;Fosa del Cementerio de Cúllar Vega;Andalucía;Cúllar Vega;NO INTERVENIDA;;0;37.15476;-3.6702807
2640;;;;;;0;0.0;0.0
2641;Fosa en el Cementeriod e Hornachuelos;Andalucía;Hornachuelos;DESAPARECIDA;;0;37.831017;-5.2401385
2642;Fosa en el interior del Cementerio de La Carlota;Andalucía;Carlota, La;NO INTERVENIDA;;0;37.67519;-4.930461
2643;Fosa en el exterior del Cementerio de La Carlota;Andalucía;Carlota, La;NO INTERVENIDA;;0;37.67519;-4.930461
2644;Fosa en el Paraje 'La Cañada del Colmenar';Andalucía;Alfacar;DESAPARECIDA;;0;37.23761;-3.5665
2645;Fosa en el paraje de 'El Romeral';Aragón;Calatayud;EXHUMADA TOTAL;;2;41.35559;-1.6432
2646;Fosas en el cementerio de Guadalajara;Castilla-La Mancha;Guadalajara;NO INTERVENIDA;;823;40.63202;-3.1655416
2647;Fosa en el Cementerio civil de Guadalajara;Castilla-La Mancha;Guadalajara;NO INTERVENIDA;;0;40.63202;-3.1655416
2648;Fosa en la antigua carretera C-631;Castilla y León;Fresnedo;EXHUMADA TOTAL;;3;42.67561;-6.592275
2649;Fosa en el paraje de Rioferreiros;Castilla y León;Santalla;EXHUMADA TOTAL;;7;42.50896;-6.6712556
2650;Fosa en Magaz de de Abajo;Castilla y León;Camponaraya;EXHUMADA TOTAL;;1;42.58098;-6.670161
2651;Fosas en comarcal C-631 Toreno;Castilla y León;Toreno;EXHUMADA TOTAL;;2;42.69918;-6.5107026
2652;Fosas en el paraje de 'La Granja' en Quintanilla de las Viñas;Castilla y León;Mambrillas de Lara;EXHUMADA TOTAL;REPRESALIA EN RETAGUARDIA;6;42.096447;-3.459514
2653;Fosa en la 'Huerta de Tomás Alegria';Castilla-La Mancha;Alcañizo;EXHUMADA TOTAL;;5;39.905544;-5.105294
2654;Fosa en Los Rollones;Castilla-La Mancha;Parrillas;EXHUMADA TOTAL;;0;40.06379;-5.061856
2655;Fosa en el paraje 'Las palomas';Extremadura;Valverde de la Vera;EXHUMADA TOTAL;;3;40.12422;-5.4930387
2656;Fosa en la vaguada del Alcalde;Canarias;Fuencaliente de la Palma;EXHUMADA TOTAL;FUSILAMIENTO;5;28.49285;-17.84493
2657;Fosa de los 13 de Fuencaliente;Canarias;Fuencaliente de la Palma;EXHUMADA TOTAL;;13;28.49285;-17.84493
2658;Fosa en Loma de Montija;Castilla y León;Merindad de Montija;EXHUMADA TOTAL;;0;43.06683;-3.4722223
2659;Fosa en el Cementerio de El Vendrell;Cataluña;Vendrell, El;NO INTERVENIDA;;0;41.22366;1.5353416
2660;Fosa en antiguo cementerio de La Campana;Andalucía;Campana, La;NO INTERVENIDA;;0;37.57052;-5.425903
2661;Fosas en el paraje 'La Zarcita';Andalucía;Aznalcóllar;EXHUMADA TOTAL;;2;37.52194;-6.268517
2662;Fosa en 'La Tejadilla';Andalucía;Aznalcóllar;EXHUMADA TOTAL;;0;37.52194;-6.268517
2663;Fosa del antiguo cementerio de La Rinconada;Andalucía;Rinconada, La;DESAPARECIDA;;0;37.4885;-5.9779
2664;Fosa en el camino del Hacho;Andalucía;Lora de Estepa;DESAPARECIDA;;0;37.26949;-4.827017
2665;Fosa en el cementerio de Lora del Rio;Andalucía;Lora del Río;NO INTERVENIDA;;0;37.65849;-5.527939
2666;Fosa junto a la 'Venta de la Papafrita' ;Andalucía;Constantina;DESAPARECIDA;;1;37.876358;-5.618806
2667;Fosa en el cementerio de Santiponce;Andalucía;Santiponce;NO INTERVENIDA;;0;37.43936;-6.0387387
2668;Fosa en cementerio de Tocina;Andalucía;Tocina;NO INTERVENIDA;;0;37.6111;-5.7336116
2669;Fosa 1 en cementerio de Villanueva del Rio y Minas;Andalucía;Villanueva del Río y Minas;NO INTERVENIDA;;0;37.65626;-5.7092
2670;Fosa 2 en cementerio de Utrera;Andalucía;Utrera;NO INTERVENIDA;;0;37.1842;-5.782333
2671;Fosa 3 en cementerio de Utrera;Andalucía;Utrera;DESAPARECIDA;;0;37.1842;-5.782333
2672;Fosa en el cementerio antiguo de Pruna;Andalucía;Pruna;DESAPARECIDA;;0;36.97348;-5.219797
2673;Fosa del Peñon del Cuervo;Andalucía;Pruna;EXHUMADA TOTAL;;0;36.97348;-5.219797
2674;Fosa en el paraje Las Salinas;Andalucía;Pruna;NO INTERVENIDA;;0;36.97348;-5.219797
2675;Fosa en el paraje Las Encarnaciones;Andalucía;Pruna;NO INTERVENIDA;;0;36.97348;-5.219797
2676;;Andalucía;Alcolea del Río;NO INTERVENIDA;;0;37.6167;-5.665853
2677;Fosa en el antiguo Cementerio de Casariche;Andalucía;Casariche;EXHUMADA TOTAL;;0;37.29393;-4.759925
2678;Fosa en el Cementerio de Dos Hermanas (fosa 2);Andalucía;Dos Hermanas;EXHUMADA TOTAL;;1;37.28267;-5.9212747
2679;Fosa en el Cementerio de Ecija;Andalucía;Ecija;EXHUMADA TOTAL;;0;37.54109;-5.0792165
2680;Fosa en el molino "Castril Chico";Andalucía;Ecija;NO INTERVENIDA;;0;37.54109;-5.0792165
2681;Fosa en el Cementerio de El Saucejo;Andalucía;Saucejo, El;NO INTERVENIDA;;0;37.07216;-5.0961447
2682;Fosa en el Cementerio de Espartinas (fosa 1);Andalucía;Espartinas;NO INTERVENIDA;;0;37.383812;-6.1244864
2683;Fosa en el Cementerio de Espejo;Andalucía;Espejo;NO INTERVENIDA;;0;37.889584;-4.554911
2684;Fosa en el Cementerio de Hinojosa del Duque;Andalucía;Hinojosa del Duque;NO INTERVENIDA;;0;38.50319;-5.1455774
2685;Fosa en el Cementerio de Villanueva de Córdoba;Andalucía;Villanueva de Córdoba;NO INTERVENIDA;;0;38.32366;-4.62715
2686;Fosa en el Paraje 'La Pililla';Andalucía;Encinas Reales;NO INTERVENIDA;;0;37.27515;-4.487125
2687;Fosa en el Cementerio de Obejo;Andalucía;Obejo;NO INTERVENIDA;;0;38.13394;-4.7990804
2688;Fosa en el Cementerio de Conquista;Andalucía;Conquista;EXHUMADA PARCIAL;FUSILAMIENTO;0;38.410072;-4.499786
2689;Fosa en el Cementerio de Guadalcázar;Andalucía;Guadalcázar;NO INTERVENIDA;;0;37.75835;-4.942553
2690;Fosa en el Cementerio de Cabra;Andalucía;Cabra;NO INTERVENIDA;;0;37.47354;-4.4418554
2691;Fosa en el Cementerio de Adamuz;Andalucía;Adamuz;NO INTERVENIDA;;0;38.02903;-4.522744
2692;Fosa en el paraje El Rodeo;Andalucía;Torre Alháquime;DESAPARECIDA;;1;36.91736;-5.232761
2693;Fosa en el paraje La Rabia;Andalucía;Torre Alháquime;NO INTERVENIDA;;2;36.91736;-5.232761
2694;Fosa de Pelabravo;Castilla y León;Pelabravo;EXHUMADA TOTAL;;14;40.93707;-5.5775223
2695;Fosa en el antiguo Cementerio de Almuñecar;Andalucía;Almuñécar;NO INTERVENIDA;;0;36.73397;-3.6902251
2696;Fosas en el Cementerio de Salobreña;Andalucía;Salobreña;NO INTERVENIDA;;0;36.74373;-3.5863693
2697;Fosa de los 14 de Fuenteguinaldo;Castilla y León;Ciudad Rodrigo;EXHUMADA TOTAL;;14;40.601208;-6.5299664
2698;Fosa en un pequeño bancal de Lecrin;Andalucía;Lecrín;NO INTERVENIDA;;0;36.94867;-3.5484028
2699;Fosa en Tocón "Fuente del Chorro";Andalucía;Illora;DESAPARECIDA;;0;37.28798;-3.8799224
2700;Fosa en Tocón "Puente de Juan de Arcos";Andalucía;Illora;NO INTERVENIDA;;0;37.28798;-3.8799224
2701;Fosa en el Cementerio antiguo de Jete;Andalucía;Jete;DESAPARECIDA;;0;36.79721;-3.6671972
2702;Fosa en el Barranco de la Sangre;Andalucía;Taha, La;NO INTERVENIDA;;0;36.93739;-3.3245945
2703;Fosa en el paraje La Fresnadilla;Andalucía;Gastor, El;NO INTERVENIDA;;0;36.85634;-5.322114
2704;Fosa en el cementerio de Chipiona;Andalucía;Chipiona;DESAPARECIDA;FUSILAMIENTO;7;;
2705;Fosa en el paraje Monte Abajo;Andalucía;Grazalema;NO INTERVENIDA;;1;36.75975;-5.3670697
